county,year,asthma_rate,D_Rural,,,,county,year,asthma_rate,D_Rural,,,Year,RuralAvgRate,UrbanAvgRate
Fulton,2007,NA,1,,,,,,,,,,,,
Juniata,2007,8.4,1,,,,,,,,,,,,
Montour,2007,NA,1,,,,,,,,,,,,
Perry,2007,NA,1,,,,,,,,,,,,
Pike,2007,5.7,1,,,,,,,,,,,,
Potter,2007,NA,1,,,,,,,,,,,,
Snyder,2007,NA,1,,,,,,,,,,,,
Sullivan,2007,NA,1,,,,,,,,,,,,
Tioga,2007,8.7,1,,,,,,,,,,,,
Union,2007,NA,1,,,,,,,,,,,,
Warren,2007,6.3,1,,,,,,,,,,,,
Adams,2008,8.2,1,,,,,,,,,,,,
Armstrong,2008,13.9,1,,,,,,,,,,,,
Bedford,2008,4.3,1,,,,,,,,,,,,
Blair,2008,8.5,1,,,,,,,,,,,,
Bradford,2008,7.9,1,,,,,,,,,,,,
Butler,2008,10.3,1,,,,,,,,,,,,
Cambria,2008,11.7,1,,,,,,,,,,,,
Carbon,2008,15,1,,,,,,,,,,,,
Centre,2008,9.3,1,,,,,,,,,,,,
Clearfield,2008,11.7,1,,,,,,,,,,,,
Columbia,2008,12.3,1,,,,,,,,,,,,
Crawford,2008,14.5,1,,,,,,,,,,,,
Elk,2008,15,1,,,,,,,,,,,,
Fayette,2008,22.1,1,,,,,,,,,,,,
Franklin,2008,7.3,1,,,,,,,,,,,,
Greene,2008,19.1,1,,,,,,,,,,,,
Huntingdon,2008,16,1,,,,,,,,,,,,
Indiana,2008,22.9,1,,,,,,,,,,,,
Jefferson,2008,12.9,1,,,,,,,,,,,,
Lawrence,2008,28.1,1,,,,,,,,,,,,
Lycoming,2008,8.8,1,,,,,,,,,,,,
McKean,2008,10.7,1,,,,,,,,,,,,
Mercer,2008,14.8,1,,,,,,,,,,,,
Mifflin,2008,10.1,1,,,,,,,,,,,,
Monroe,2008,17.2,1,,,,,,,,,,,,
Northumberland,2008,7.9,1,,,,,,,,,,,,
Schuylkill,2008,16.4,1,,,,,,,,,,,,
Somerset,2008,5.3,1,,,,,,,,,,,,
Susquehanna,2008,14.8,1,,,,,,,,,,,,
Venango,2008,12.8,1,,,,,,,,,,,,
Washington,2008,15.4,1,,,,,,,,,,,,
Wayne,2008,10.7,1,,,,,,,,,,,,
Wyoming,2008,19.4,1,,,,,,,,,,,,
Cameron,2008,NA,1,,,,,,,,,,,,
